brand,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,potential_allergens,quality_ingredients,questionable_ingredients
instinct,0%,104/100g,14%,27%,5%,55%,0.0%,3.0%,6.0%,1.0%,78.0%,12.0%,"Chicken,Beef Liver,Chicken Broth,Salmon (source of DHA),Eggs,Montmorillonite Clay,Dried Kelp,Taurine,Potassium Chloride,Salt,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),L-Ascorbyl-2-Polyphosphate,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley.",[5],Real Chicken Recipe For Kittens,[4],"beef liver,salmon,eggs","chicken,beef liver,salmon",
instinct,0%,154/100g,24%,27%,6%,42%,0.0%,8.0%,9.0%,2.0%,67.0%,14.0%,"Chicken (including Ground Chicken Bone),Chicken Liver,Chicken Heart,Turkey Liver,Yeast Culture,Turkey Heart,Carrots,Butternut Squash,Apples,Ground Flaxseed,Montmorillonite Clay,Dried Kelp,Broccoli,Cod Liver Oil,Salt,Taurine,Salmon Oil,Apple Cider Vinegar,Vitamin E Supplement,Dried Chicory Root,Blueberries.",[5],Raw Signature Frozen Medallions Real Chicken Recipe,[3],"cod liver oil,salmon oil","chicken,chicken liver,chicken heart,turkey liver,turkey heart",
instinct,0%,157/100g,24%,26%,6%,44%,0.0%,8.0%,9.0%,2.0%,66.0%,15.0%,"Rabbit (including Ground Rabbit Bone),Pork Liver,Pork Heart,Ground Pork Bone,Pork Fat,Yeast Culture,Rabbit Liver,Carrots,Butternut Squash,Apples,Ground Flaxseed,Montmorillonite Clay,Rabbit Lung,Rabbit Kidney,Dried Kelp,Broccoli,Cod Liver Oil,Salt,Taurine,Salmon Oil,Apple Cider Vinegar,Vitamin E Supplement,Dried Chicory Root,Blueberries",[5],Raw Signature Frozen Bites Real Rabbit Recipe,[3],"cod liver oil,salmon oil","rabbit,pork liver,pork heart,rabbit liver,rabbit lung,rabbit kidney",
instinct,0%,154/100g,24%,27%,6%,42%,0.0%,8.0%,9.0%,2.0%,67.0%,14.0%,"Chicken (including Ground Chicken Bone),Chicken Liver,Turkey Liver,Yeast Culture,Pumpkinseeds,Montmorillonite Clay,Turkey Heart,Apples,Broccoli,Butternut Squash,Salt,Cod Liver Oil,Dried Kelp,Carrots,Spinach,Taurine,Mixed Tocopherols,Dried Chicory Root,Blueberries,Rosemary Extract.",[5],Raw Frozen Bites Cage-Free Chicken Recipe,[3],cod liver oil,"chicken,chicken liver,turkey liver,turkey heart",
instinct,0%,105/100g,0%,31%,13%,57%,0.0%,0.0%,7.0%,3.0%,78.0%,13.0%,"Venison,Pork Liver,Pork Broth,Ground Flaxseed,Montmorillonite Clay,Peas,Carrots,Potassium Chloride,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Choline Chloride,Menhaden Fish Oil (preserved with Mixed Tocopherols),Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Salt,L-Ascorbyl-2-Polyphosphate,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley",[4],Original Real Venison Recipe,[5],menhaden fish oil,"venison,pork liver",
instinct,0%,105/100g,11%,32%,9%,48%,0.0%,2.5%,7.0%,2.0%,78.0%,10.5%,"Salmon,Salmon Broth,Pork Liver,Ground Flaxseed,Montmorillonite Clay,Eggs,Peas,Carrots,Potassium Chloride,Salt,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Choline Chloride,Vitamins (Thiamine Mononitrate,Vitamin E Supplement,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,L-Ascorbyl-2-Polyphosphate,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley",[4],Original Real Salmon Recipe,[4],"salmon,salmon broth,eggs","salmon,pork liver",
instinct,0%,92/100g,7%,23%,14%,57%,0.0%,1.5%,5.0%,3.0%,78.0%,12.5%,"Rabbit,Pork Liver,Pork Broth,Ground Flaxseed,Montmorillonite Clay,Tricalcium Phosphate,Peas,Carrots,Potassium Chloride,Salt,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Menhaden Fish Oil (preserved with Mixed Tocopherols),L-Ascorbyl-2-Polyphosphate,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley",[4],Original Real Rabbit Recipe,[4],menhaden fish oil,"rabbit,pork liver",
instinct,0%,115/100g,0%,40%,13%,48%,0.0%,0.0%,9.0%,3.0%,78.0%,11.0%,"Lamb,Lamb Broth,Turkey,Turkey Liver,Ground Flaxseed,Montmorillonite Clay,Eggs,Peas,Carrots,Potassium Chloride,Salt,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,L-Ascorbyl-2-Polyphosphate,Menhaden Fish Oil (preserved with Mixed Tocopherols),Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley",[5],Original Real Lamb Recipe,[4],"lamb,lamb broth,eggs,menhaden fish oil","lamb,turkey,turkey liver",
instinct,0%,102/100g,2%,32%,14%,52%,0.0%,0.5%,7.0%,3.0%,78.0%,11.5%,"Duck,Turkey Liver,Duck Broth,Ground Flaxseed,Montmorillonite Clay,Peas,Potassium Chloride,Carrots,Salt,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,L-Ascorbyl-2-Polyphosphate,Menhaden Fish Oil (preserved with Mixed Tocopherols),Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley",[4],Original Real Duck Recipe,[5],menhaden fish oil,"duck,turkey liver",
instinct,0%,104/100g,2%,34%,14%,50%,0.0%,0.5%,7.5%,3.0%,78.0%,11.0%,"Chicken,Turkey,Chicken Liver,Chicken Broth,Ground Flaxseed,Montmorillonite Clay,Eggs,Peas,Carrots,Lecithin,Dried Kelp,Potassium Chloride,Salt,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Cobalt Proteinate,Potassium Iodide),Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Choline Chloride,L-Ascorbyl-2-Polyphosphate,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley",[4],Original Real Chicken Recipe,[5],eggs,"chicken,turkey,chicken liver",
instinct,0%,104/100g,0%,34%,14%,52%,0.0%,0.0%,7.5%,3.0%,78.0%,11.5%,"Beef,Beef Liver,Beef Broth,Tricalcium Phosphate,Ground Flaxseed,Montmorillonite Clay,Eggs,Peas,Carrots,Potassium Chloride,Calcium Carbonate,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Salt,L-Abscorbyl-2-Polyphosphate,Menhaden Fish Oil (preserved with Mixed Tocopherols),Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley",[4],Original Real Beef Recipe,[5],"beef,beef liver,beef broth,eggs,menhaden fish oil","beef,beef liver",
instinct,0%,70/100g,28%,11%,6%,56%,0.0%,5.0%,2.0%,1.0%,82.0%,10.0%,"Fish Broth,Tuna,Pork Liver,Egg Whites,Pork,Ground Dried Peas,Spinach,Carrots,Ground Flaxseed,Montmorillonite Clay,Guar Gum,Natural Flavor,Sunflower Oil,Sodium Phosphate,Salt,Calcium Carbonate,Dried Kelp,Potassium Chloride,Choline Chloride,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Vitamins (Thiamine Mononitrate,Vitamin E Supplement,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Xanthan Gum,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley.",[3],Minced Tuna Recipe,[4],"fish broth,tuna,egg whites","tuna,pork liver,pork",guar gum
instinct,0%,75/100g,25%,17%,6%,53%,0.0%,4.5%,3.0%,1.0%,82.0%,9.5%,"Salmon Broth,Salmon,Chicken Liver,Egg Whites,Chicken,Ground Dried Peas,Spinach,Carrots,Ground Flaxseed,Guar Gum,Natural Flavor,Sodium Phosphate,Salt,Montmorillonite Clay,Dried Kelp,Potassium Chloride,Choline Chloride,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Vitamins (Thiamine Mononitrate,Vitamin E Supplement,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Xanthan Gum,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley.",[3],Minced Salmon Recipe,[4],"salmon broth,salmon,egg whites","salmon,chicken liver,chicken",guar gum
instinct,0%,75/100g,22%,17%,6%,56%,0.0%,4.0%,3.0%,1.0%,82.0%,10.0%,"Pork Broth,Rabbit,Pork Liver,Pork,Egg Whites,Ground Dried Peas,Spinach,Carrots,Ground Flaxseed,Montmorillonite Clay,Guar Gum,Natural Flavor,Sodium Phosphate,Salt,Calcium Carbonate,Dried Kelp,Potassium Chloride,Choline Chloride,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Xanthan Gum,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley.",[3],Minced Rabbit Recipe,[4],egg whites,"rabbit,pork liver,pork",guar gum
instinct,0%,82/100g,19%,25%,6%,50%,0.0%,3.5%,4.5%,1.0%,82.0%,9.0%,"Chicken Broth,Chicken,Chicken Liver,Egg Whites,Ground Dried Peas,Spinach,Carrots,Ground Flaxseed,Guar Gum,Natural Flavor,Sodium Phosphate,Salt,Montmorillonite Clay,Dried Kelp,Potassium Chloride,Choline Chloride,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Xanthan Gum,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley.",[3],Minced Chicken Recipe,[3],egg whites,"chicken,chicken liver",guar gum
instinct,0%,112/100g,15%,29%,8%,48%,0.0%,3.5%,7.0%,2.0%,76.0%,11.5%,"Turkey,Turkey Broth,Turkey Liver,Peas,Pea Protein,Montmorillonite Clay,Potassium Chloride,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Salt,Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,L-Ascorbyl-2-Polyphosphate",[4],Limited Ingredient Diet Real Turkey Recipe,[4],,"turkey,turkey liver",
instinct,0%,96/100g,17%,19%,13%,52%,0.0%,4.0%,4.5%,3.0%,76.0%,12.5%,"Rabbit,Water,Rabbit Liver,Pea Protein,Peas,Montmorillonite Clay,Dicalcium Phosphate,Potassium Chloride,Calcium Carbonate,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Salt,Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,L-Ascorbyl-2-Polyphosphate",[4],Limited Ingredient Diet Real Rabbit Recipe,[4],,"rabbit,rabbit liver",
instinct,0%,112/100g,19%,29%,8%,44%,0.0%,4.5%,7.0%,2.0%,76.0%,10.5%,"Duck,Duck Broth,Pea Protein,Peas,Montmorillonite Clay,Potassium Chloride,Flaxseed Oil (preserved with Mixed Tocopherols),Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Salt,Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,L-Ascorbyl-2-Polyphosphate",[4],Limited Ingredient Diet Real Duck Recipe,[3],,duck,
james wellbeloved,9%,368/100g,33%,19%,2%,37%,8.0%,29.7%,17.5%,1.8%,10.0%,33.0%,"Fish meal,Brown rice,White rice,Maize gluten,Olive oil,Pea protein,Potato protein,Fish oil,Fish stock,Tomato pomace,Carrot,Potassium chloride,Chicory pulp,Chicory extract,Calcium carbonate,Sodium chloride,Cranberry extract,Glucosamine,Nettles,Yucca extract,Rosemary extract,Chondroitin",[1],Senior Fish,[2],"fish meal,fish oil,fish stock",,"brown rice,white rice,maize gluten"
james wellbeloved,10%,372/100g,31%,22%,4%,33%,9.0%,27.8%,20.0%,3.2%,10.0%,30.0%,"Turkey meal,Brown rice,Turkey fat,White rice,Maize gluten,Potato protein,Pea fibre,Turkey gravy,Tomato pomace,Dried meat-free stock,Potassium chloride,Chicory extract,Omega oil supplement from fish oil,Calcium carbonate,Carrot,Sodium chloride,Cranberry extract,Yucca extract,Rosemary extract",[2],Oral Health Turkey,[1],omega oil supplement from fish oil,turkey meal,"brown rice,white rice,maize gluten"
james wellbeloved,11%,322/100g,36%,12%,3%,38%,9.9%,32.6%,10.5%,3.0%,10.0%,34.0%,"Turkey meal,Brown rice,White rice,Maize gluten,Potato protein,Turkey gravy,Turkey fat,Tomato pomace,Sugar beet pulp,Alfalfa meal,Whole linseed,Pea protein,Dired meat-free stock,Potassium chloride,Seaweed,Omega oil supplement from fish oil,Chicory extract,Calcium carbonate,Carrot,Sodium chloride,Cranberry extract,Glucosamine,Nettles,Yucca extract,Rosemary extract,Chondroitin",[2],Light Turkey,[2],omega oil supplement from fish oil,turkey meal,"brown rice,white rice,maize gluten"
james wellbeloved,12%,321/100g,36%,12%,3%,38%,10.4%,32.1%,10.5%,3.0%,10.0%,34.0%,"Fish meal,Brown rice,White rice,Maize gluten,Fish stock,Potato protein,Olive oil,Tomato pomace,Sugar beet pulp,Alfalfa meal,Fish oil,Whole linseed,Pea protein,Potassium chloride,Seaweed,Chicory extract,Calcium carbonate,Carrot,Sodium chloride,Cranberry extract,Glucosamine,Nettles,Yucca extract,Rosemary extract,Chondroitin",[1],Light Fish,[2],"fish meal,fish stock,fish oil",,"brown rice,white rice,maize gluten"
james wellbeloved,10%,385/100g,29%,23%,1%,37%,8.8%,26.0%,21.0%,1.2%,10.0%,33.0%,"Turkey meal,White rice,Turkey fat,Brown rice,Maize gluten,Potato protein,Pea protein,Turkey gravy,Tomato pomace,Dried meat-free stock,Potassium chloride,Chicory extract,Omega oil supplement from fish oil,,Calcium carbonate,Carrot,Sodium chloride,Cranberry extract,Yucca extract,Rosemary extract",[2],Kitten Turkey,[2],omega oil supplement from fish oil,turkey meal,"white rice,brown rice,maize gluten"
james wellbeloved,0%,403/100g,39%,20%,2%,39%,0.0%,35.3%,18.5%,1.5%,9.7%,35.0%,"Fish meal,White rice,Brown rice,Olive oil,Fish stock,Fish oil,Maize gluten,Potato protein,Pea protein,Tomato pomace,Potassium chloride,Chicory extract,Calcium carbonate,Carrot,Sodium chloride,Cranberry extract,Yucca extract,Rosemary extract",[1],Kitten Fish,[2],"fish meal,fish stock,fish oil",,"white rice,brown rice,maize gluten"
james wellbeloved,10%,373/100g,27%,23%,5%,34%,8.9%,24.6%,21.0%,4.5%,10.0%,31.0%,"Turkey meal,White rice,Turkey fat,Brown rice,Maize gluten,Pea fibre,Potato protein,Turkey gravy,Tomato pomace,Whole linseed,Dried meat-free stock,Potassium chloride,Chicory extract,Omega oil supplement from fish oil,,Calcium carbonate,Carrot,Sodium chloride,Cranberry extract,Yucca extract,Rosemary extract",[2],Hairball Turkey,[2],omega oil supplement from fish oil,turkey meal,"white rice,brown rice,maize gluten"
james wellbeloved,12%,376/100g,28%,23%,2%,34%,10.4%,25.4%,21.0%,2.2%,10.0%,31.0%,"Turkey meal,Potato flakes,Turkey fat,Pea starch,Potato protein,Turkey gravy,Tomato pomace,Pea protein,Whole linseed,Dried meat-free stock,Potassium chloride,Omega oil supplement from fish oil,Chicory extract,Calcium carbonate,Carrot,Sodium chloride,Cranberry extract,Yucca extract,Rosemary extract",[2],Grain Free Adult Turkey,[2],omega oil supplement from fish oil,turkey meal,pea starch
james wellbeloved,10%,376/100g,31%,22%,2%,34%,9.3%,27.9%,20.0%,1.8%,10.0%,31.0%,"Turkey meal,Brown rice,Turkey fat,White rice,Maize gluten,Potato protein,Turkey gravy,Tomato pomace,Died meat-free stock,Potassium chloride,Chicory pulp,Chicory extract,Omega oil supplement from fish oil,Calcium carbonate,Carrot,Sodium chloride,Cranberry extract,Yucca extract,Rosemary extract",[2],Adult Turkey,[1],omega oil supplement from fish oil,turkey meal,"brown rice,white rice,maize gluten"
james wellbeloved,9%,353/100g,38%,16%,2%,34%,8.5%,34.5%,14.5%,1.5%,10.0%,31.0%,"duck meal,white rice,brown rice,duck fat,maize gluten,duck digest,tomato pomace,potato protein,dried meat-free stock,whole linseed,natural clay,potassium chloride,chicory extract,omega oil supplement from fish oil,calcium carbonate,carrot,sodium chloride,cranberry extract,yucca extract,rosemary extract",[2],Adult Housecat Duck,[1],omega oil supplement from fish oil,duck meal,"white rice,brown rice,maize gluten"
james wellbeloved,11%,362/100g,31%,19%,2%,37%,9.9%,27.8%,17.5%,1.8%,10.0%,33.0%,"Fish meal,Brown rice,White rice,Maize gluten,Olive oil,Potato protein,Fish oil,Tomato pomace,Potassium chloride,Chicory pulp,Chicory extract,Calcium carbonate,Carrot,Sodium chloride,Cranberry extract,Yucca extract,Rosemary extract",[1],Adult Fish,[2],"fish meal,fish oil",,"brown rice,white rice,maize gluten"
james wellbeloved,10%,77/100g,7%,25%,3%,56%,1.8%,1.2%,4.5%,0.5%,82.0%,10.0%,"Turkey,Cassava,Tomato Pomace,Potassium Disphosphate,Potassium Chloride,Chicory Extract,Cranberry Extract,Glucosamine,Nettles,Yukka Extract",[4],Grain Free Turkey Senior,[4],,turkey,
james wellbeloved,9%,83/100g,9%,26%,3%,53%,1.8%,1.7%,5.0%,0.5%,81.0%,10.0%,"Turkey,Pea Protein,Tomato Pomace,Cassava,Potato Flakes,Sunflower Oil,Linseed Oil,Diphosphate,Potassium Chloride,Fish Oil,Calcium Carbonate,Xylose,Chicory Extract,Cranberry Extract,Yukka Extract",[4],Grain Free Turkey Kitten,[4],fish oil,turkey,
james wellbeloved,9%,81/100g,12%,24%,3%,53%,1.8%,2.2%,4.5%,0.5%,81.0%,10.0%,"Turkey,Pea Protein,Tomato Pomace,Cassava,Potato Flakes,Sunflower Oil,Linseed Oil,Potassium Diphosphate,Calcium Carbonate,Potassium Chloride,Fish Oil,Xylose,Chicory Extract,Cranberry Extract,Yucca Extract",[4],Grain Free Turkey Adult,[4],fish oil,turkey,
james wellbeloved,8%,79/100g,11%,25%,3%,53%,1.5%,2.0%,4.5%,0.5%,82.0%,9.5%,"Lamb,Pea protein,Tomato pomace,Cassava,Potato flakes,Sunflower oil,Calcium carbonate,Potassium diphosphate,Linseed oil,Potassium chloride,Fish oil,Xylose,Chicory extract,Glucosamine,Yukka extract",[4],Grain Free Lamb Senior,[4],"lamb,fish oil",lamb,
james wellbeloved,8%,81/100g,8%,28%,3%,53%,1.5%,1.5%,5.0%,0.5%,82.0%,9.5%,"Lamb,Pea Protein,Tomato Pomace,Cassava,Potato Flakes,Sunflower Oil,Calcium Carbonate,Potassium Disphosphate,Linseed Oil,Potassium Chloride,Fish Oil,Potassium Chloride,Fish Oil,Xylose,Chicory Extract,Cranberry Extract,Yukka Extract",[4],Grain Free Lamb Kitten,[4],"lamb,fish oil,fish oil",lamb,
james wellbeloved,8%,79/100g,11%,25%,3%,53%,1.5%,2.0%,4.5%,0.5%,82.0%,9.5%,"Lamb,Pea Protein,Tomato Pomace,Cassava,Potato Flakes,Sunflower Oil,Calcium Carbonate,Potassium Disposhate,Linseed Oil,Xylose,Chicory Extract,Cranberry Extract,Yucca Extract",[4],Grain Free Lamb Adult,[4],lamb,lamb,
kahoots,0%,387/100g,37%,18%,4%,42%,0.0%,33.8%,16.0%,3.3%,9.0%,38.0%,"Chicken Meal,Peas,Sweet Potato,Chicken Fat (preserved with mixed Tocopherols),Duck Meal,Garbanzo Beans,Dehydrated Alfalfa Meal,Natural Flavor,Vegetable Pomace (Carrot,Peas,Tomato,Celery,Beet,Parsley,Lettuce,Watercress,Spinach),Yeast Culture,Sodium Bisulfate,Potassium Chloride,Salt,Calcium Carbonate,DL-Methionine,Taurine,Choline Chloride,Silicon Dioxide,Tetra Sodium Pyrophosphate,Vegetable Oil,Rosemary Extract,Green Tea Extract,Spearmint Extract,Hydrolyzed Yeast,Zinc Methionine Complex,Dehydrated Seaweed Meal,Ferrous Sulfate,Cobalt Carbonate,Vitamin E Supplement,L-Carnitine,Brewers Dried Yeast,Dried Enterococcus Faecium Fermentation Product,Dried Aspergillus Oryzae Fermentation Extract,Dried Trichoderma Longibrachiatum Fermentation Extract,Dried Bacillus Subtilis Fermentation Extract,Iron Amino Acid Complex,Niacin Supplement,Thiamine Mononitrate,Copper Sulfate,Copper Amino Acid Complex,Vitamin B12 Supplement,Biotin,Manganese Amino Acid Complex,Vitamin A Supplement,Sodium Selenite,D-Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Vitamin D3 Supplement,Folic Acid,Calcium Iodate",[4],Grain Free Carnivore's Choice Recipe,[3],,"chicken meal,duck meal",
